EnhedId,RåResultat,Enhedsnavn,Stofnavn,Datomærke,Målestedsnavn,ProduktId
2,4.54,ppb,NOx'er,2019-01-01 01:30:00.000,H.C.Ørsted Inst.,32424777
5,0.10,ppm,Carbonmonooxid,2019-01-01 01:30:00.000,H.C.Ørsted Inst.,32424778
2,32.68,ppb,Ozon,2019-01-01 01:30:00.000,H.C.Ørsted Inst.,32424779
2,1.63,ppb,Nitrogenmonooxid,2019-01-01 01:00:00.000,Aarhus Botanisk,32424780
2,3.10,ppb,NOx'er,2019-01-01 01:00:00.000,Aarhus Botanisk,32424781
2,34.44,ppb,Ozon,2019-01-01 01:00:00.000,Aarhus Botanisk,32424782
2,1.64,ppb,Nitrogenmonooxid,2019-01-01 01:30:00.000,Aarhus Botanisk,32424783
2,3.10,ppb,NOx'er,2019-01-01 01:30:00.000,Aarhus Botanisk,32424784
2,34.24,ppb,Ozon,2019-01-01 01:30:00.000,Aarhus Botanisk,32424785
2,0.55,ppb,Nitrogenmonooxid,2019-01-01 01:00:00.000,Anholt - Radar stationen,32424786
2,1.59,ppb,NOx'er,2019-01-01 01:00:00.000,Anholt - Radar stationen,32424787
2,0.35,ppb,Nitrogenmonooxid,2019-01-01 01:30:00.000,Anholt - Radar stationen,32424788
2,1.51,ppb,NOx'er,2019-01-01 01:30:00.000,Anholt - Radar stationen,32424789
2,6.35,ppb,Nitrogenmonooxid,2019-01-01 01:00:00.000,Hvidovre Fjeldstedvej,32424790
2,8.00,ppb,NOx'er,2019-01-01 01:00:00.000,Hvidovre Fjeldstedvej,32424791
2,6.28,ppb,Nitrogenmonooxid,2019-01-01 01:30:00.000,Hvidovre Fjeldstedvej,32424792
2,7.88,ppb,NOx'er,2019-01-01 01:30:00.000,Hvidovre Fjeldstedvej,32424793
2,-0.17,ppb,Nitrogenmonooxid,2019-01-01 01:00:00.000,Risø,32424794
2,0.84,ppb,NOx'er,2019-01-01 01:00:00.000,Risø,32424795
5,-0.14,ppm,Carbonmonooxid,2019-01-01 01:00:00.000,Risø,32424796
2,33.26,ppb,Ozon,2019-01-01 01:00:00.000,Risø,32424797
2,-0.23,ppb,Nitrogenmonooxid,2019-01-01 01:30:00.000,Risø,32424798
2,0.76,ppb,NOx'er,2019-01-01 01:30:00.000,Risø,32424799
5,-0.14,ppm,Carbonmonooxid,2019-01-01 01:30:00.000,Risø,32424800
2,33.39,ppb,Ozon,2019-01-01 01:30:00.000,Risø,32424801
2,2.95,ppb,Nitrogenmonooxid,2019-01-01 01:00:00.000,Århus gade (3),32424802
2,5.61,ppb,NOx'er,2019-01-01 01:00:00.000,Århus gade (3),32424803
5,-0.01,ppm,Carbonmonooxid,2019-01-01 01:00:00.000,Århus gade (3),32424804
2,3.13,ppb,Nitrogenmonooxid,2019-01-01 01:30:00.000,Århus gade (3),32424805
2,5.16,ppb,NOx'er,2019-01-01 01:30:00.000,Århus gade (3),32424806
5,0.00,ppm,Carbonmonooxid,2019-01-01 01:30:00.000,Århus gade (3),32424807
2,6.22,ppb,Nitrogenmonooxid,2019-01-01 00:30:00.000,Jagtvej - Skur,32424808
2,11.10,ppb,NOx'er,2019-01-01 00:30:00.000,Jagtvej - Skur,32424809
2,6.92,ppb,Nitrogenmonooxid,2019-01-01 01:00:00.000,Jagtvej - Skur,32424810
2,12.55,ppb,NOx'er,2019-01-01 01:00:00.000,Jagtvej - Skur,32424811
2,-0.12,ppb,Nitrogenmonooxid,2019-01-01 01:00:00.000,Aalborg Tag ny,32424812
2,1.00,ppb,NOx'er,2019-01-01 01:00:00.000,Aalborg Tag ny,32424813
2,36.49,ppb,Ozon,2019-01-01 01:00:00.000,Aalborg Tag ny,32424814
2,-0.38,ppb,Nitrogenmonooxid,2019-01-01 01:30:00.000,Aalborg Tag ny,32424815
2,0.46,ppb,NOx'er,2019-01-01 01:30:00.000,Aalborg Tag ny,32424816
2,43.65,ppb,Ozon,2019-01-01 01:30:00.000,Aalborg Tag ny,32424817
2,-0.11,ppb,Nitrogenmonooxid,2019-01-01 01:00:00.000,Føllesbjerg,32424818
2,1.55,ppb,NOx'er,2019-01-01 01:00:00.000,Føllesbjerg,32424819
2,31.49,ppb,Ozon,2019-01-01 01:00:00.000,Føllesbjerg,32424820
2,0.05,ppb,Nitrogenmonooxid,2019-01-01 01:30:00.000,Føllesbjerg,32424821
2,1.26,ppb,NOx'er,2019-01-01 01:30:00.000,Føllesbjerg,32424822
2,32.53,ppb,Ozon,2019-01-01 01:30:00.000,Føllesbjerg,32424823
2,2.06,ppb,Nitrogenmonooxid,2019-01-01 01:00:00.000,Odense Gade Grønløkkevej 20A,32424824
2,3.14,ppb,NOx'er,2019-01-01 01:00:00.000,Odense Gade Grønløkkevej 20A,32424825
5,-0.02,ppm,Carbonmonooxid,2019-01-01 01:00:00.000,Odense Gade Grønløkkevej 20A,32424826
2,2.95,ppb,Nitrogenmonooxid,2019-01-01 01:30:00.000,Odense Gade Grønløkkevej 20A,32424827
2,3.79,ppb,NOx'er,2019-01-01 01:30:00.000,Odense Gade Grønløkkevej 20A,32424828
5,-0.02,ppm,Carbonmonooxid,2019-01-01 01:30:00.000,Odense Gade Grønløkkevej 20A,32424829
2,3.68,ppb,Nitrogenmonooxid,2019-01-01 01:00:00.000,H.C. Andersen Boulevard - Skur,32424830
2,10.57,ppb,NOx'er,2019-01-01 01:00:00.000,H.C. Andersen Boulevard - Skur,32424831
5,0.16,ppm,Carbonmonooxid,2019-01-01 01:00:00.000,H.C. Andersen Boulevard - Skur,32424832
2,28.16,ppb,Ozon,2019-01-01 01:00:00.000,H.C. Andersen Boulevard - Skur,32424833
2,0.17,ppb,Svovldioxid,2019-01-01 01:00:00.000,H.C. Andersen Boulevard - Skur,32424834
2,3.13,ppb,Nitrogenmonooxid,2019-01-01 01:30:00.000,H.C. Andersen Boulevard - Skur,32424835
2,7.49,ppb,NOx'er,2019-01-01 01:30:00.000,H.C. Andersen Boulevard - Skur,32424836
5,0.17,ppm,Carbonmonooxid,2019-01-01 01:30:00.000,H.C. Andersen Boulevard - Skur,32424837
2,28.58,ppb,Ozon,2019-01-01 01:30:00.000,H.C. Andersen Boulevard - Skur,32424838
2,0.10,ppb,Svovldioxid,2019-01-01 01:30:00.000,H.C. Andersen Boulevard - Skur,32424839
20,21.50,µg/m3,PM10,2019-01-01 02:00:00.000,H.C. Andersen Boulevard - Skur,32424840
20,18.70,µg/m3,PM10,2019-01-01 02:30:00.000,H.C. Andersen Boulevard - Skur,32424841
20,25.80,µg/m3,PM10,2019-01-01 02:00:00.000,Risø,32424842
20,16.20,µg/m3,PM10,2019-01-01 02:30:00.000,Risø,32424843
20,10.40,µg/m3,PM25,2019-01-01 02:00:00.000,H.C. Andersen Boulevard - Skur,32424844
20,5.50,µg/m3,PM25,2019-01-01 02:30:00.000,H.C. Andersen Boulevard - Skur,32424845
2,2.05,ppb,Nitrogenmonooxid,2019-01-01 02:00:00.000,H.C.Ørsted Inst.,32424846
2,4.76,ppb,NOx'er,2019-01-01 02:00:00.000,H.C.Ørsted Inst.,32424847
5,0.10,ppm,Carbonmonooxid,2019-01-01 02:00:00.000,H.C.Ørsted Inst.,32424848
2,32.62,ppb,Ozon,2019-01-01 02:00:00.000,H.C.Ørsted Inst.,32424849
2,1.97,ppb,Nitrogenmonooxid,2019-01-01 02:30:00.000,H.C.Ørsted Inst.,32424850
2,4.32,ppb,NOx'er,2019-01-01 02:30:00.000,H.C.Ørsted Inst.,32424851
5,0.09,ppm,Carbonmonooxid,2019-01-01 02:30:00.000,H.C.Ørsted Inst.,32424852
2,32.77,ppb,Ozon,2019-01-01 02:30:00.000,H.C.Ørsted Inst.,32424853
2,1.79,ppb,Nitrogenmonooxid,2019-01-01 02:00:00.000,Aarhus Botanisk,32424854
2,2.94,ppb,NOx'er,2019-01-01 02:00:00.000,Aarhus Botanisk,32424855
2,1.73,ppb,Nitrogenmonooxid,2019-01-01 02:30:00.000,Aarhus Botanisk,32424857
2,2.73,ppb,NOx'er,2019-01-01 02:30:00.000,Aarhus Botanisk,32424858
2,34.31,ppb,Ozon,2019-01-01 02:30:00.000,Aarhus Botanisk,32424859
2,0.43,ppb,Nitrogenmonooxid,2019-01-01 02:00:00.000,Anholt - Radar stationen,32424860
2,1.13,ppb,NOx'er,2019-01-01 02:00:00.000,Anholt - Radar stationen,32424861
2,0.35,ppb,Nitrogenmonooxid,2019-01-01 02:30:00.000,Anholt - Radar stationen,32424862
2,0.98,ppb,NOx'er,2019-01-01 02:30:00.000,Anholt - Radar stationen,32424863
2,6.26,ppb,Nitrogenmonooxid,2019-01-01 02:00:00.000,Hvidovre Fjeldstedvej,32424864
2,7.56,ppb,NOx'er,2019-01-01 02:00:00.000,Hvidovre Fjeldstedvej,32424865
2,6.32,ppb,Nitrogenmonooxid,2019-01-01 02:30:00.000,Hvidovre Fjeldstedvej,32424866
2,7.63,ppb,NOx'er,2019-01-01 02:30:00.000,Hvidovre Fjeldstedvej,32424867
2,-0.15,ppb,Nitrogenmonooxid,2019-01-01 02:00:00.000,Risø,32424868
2,0.86,ppb,NOx'er,2019-01-01 02:00:00.000,Risø,32424869
5,-0.14,ppm,Carbonmonooxid,2019-01-01 02:00:00.000,Risø,32424870
2,-0.30,ppb,Nitrogenmonooxid,2019-01-01 02:30:00.000,Risø,32424872
2,0.51,ppb,NOx'er,2019-01-01 02:30:00.000,Risø,32424873
5,-0.14,ppm,Carbonmonooxid,2019-01-01 02:30:00.000,Risø,32424874
2,33.97,ppb,Ozon,2019-01-01 02:30:00.000,Risø,32424875
2,2.92,ppb,Nitrogenmonooxid,2019-01-01 02:00:00.000,Århus gade (3),32424876
2,4.73,ppb,NOx'er,2019-01-01 02:00:00.000,Århus gade (3),32424877
5,-0.01,ppm,Carbonmonooxid,2019-01-01 02:00:00.000,Århus gade (3),32424878
2,1.98,ppb,Nitrogenmonooxid,2019-01-01 02:30:00.000,Århus gade (3),32424879
2,3.52,ppb,NOx'er,2019-01-01 02:30:00.000,Århus gade (3),32424880
5,-0.01,ppm,Carbonmonooxid,2019-01-01 02:30:00.000,Århus gade (3),32424881
2,5.61,ppb,Nitrogenmonooxid,2019-01-01 01:30:00.000,Jagtvej - Skur,32424882
2,11.23,ppb,NOx'er,2019-01-01 01:30:00.000,Jagtvej - Skur,32424883
2,6.57,ppb,Nitrogenmonooxid,2019-01-01 02:00:00.000,Jagtvej - Skur,32424884
2,11.57,ppb,NOx'er,2019-01-01 02:00:00.000,Jagtvej - Skur,32424885
2,-0.49,ppb,Nitrogenmonooxid,2019-01-01 02:00:00.000,Aalborg Tag ny,32424886
2,0.44,ppb,NOx'er,2019-01-01 02:00:00.000,Aalborg Tag ny,32424887
